type,id,name,cp,year_10143,year_09019,year_10148_BISM,year_10148_DA,year_10148_ESD,year_10148_ID,year_10148_NC,year_09119_BISM,year_09119_IDA,year_09119_NC,year_09119_ESDA,year_09119_AIDA,year_09119_MA,year_09119_ORA,year_09119_SA,year_09119_CPA
,76094,Oxford International Intellectual Property Moot,6,,,,,,,,,,,,,,,,
,76095,Strategic Litigation Clinic,6,,,,,,,,,,,,,,,,
,76096,Experiential Research and Law,6,,,,,,,,,,,,,,,,
,76097,Local Internship,6,,,,,,,,,,,,,,,,
,76098,International Legal Internship,6,,,,,,,,,,,,,,,,
,76099,Applied Human Rights Fieldwork,6,,,,,,,,,,,,,,,,
,76105,Disruptive Technologies and the Law,6,,,,,,,,,,,,,,,,
,76106,"Technology Law, Policy and Ethics (Capstone 1)",6,,,,,,,,,,,,,,,,
,76107,"Applied Project in Law, Innovation, and Technology",6,,,,,,,,,,,,,,,,
,76108,International Law and Cultural Heritage,6,,,,,,,,,,,,,,,,
,76109,History and Theory of International Law,6,,,,,,,,,,,,,,,,
,76112,Australian Private International Law,6,,,,,,,,,,,,,,,,
,76115,Insolvency,6,,,,,,,,,,,,,,,,
,76212,Revenue Law,6,,,,,,,,,,,,,,,,
,76516,Family Law,6,,,,,,,,,,,,,,,,
,76517,Succession,6,,,,,,,,,,,,,,,,
,76521,Intellectual Property and Traditional Knowledge,6,,,,,,,,,,,,,,,,
,76801,Exchange Subject 1,6,,,,,,,,,,,,,,,,
,76802,Exchange Subject 2,6,,,,,,,,,,,,,,,,
,76803,Exchange Subject 3,6,,,,,,,,,,,,,,,,
,76804,Exchange Subject 4,6,,,,,,,,,,,,,,,,
,76900,Moot,6,,,,,,,,,,,,,,,,
,76902,Law and Literature,6,,,,,,,,,,,,,,,,
,76903,International Commercial Transactions,6,,,,,,,,,,,,,,,,
,76904,Price International Media Law Moot,6,,,,,,,,,,,,,,,,
,77715,Banking Law,6,,,,,,,,,,,,,,,,
,77794,International Environmental Law,6,,,,,,,,,,,,,,,,
,78008,Law of the Sea,6,,,,,,,,,,,,,,,,
,78013,Refugee Law and Practice,6,,,,,,,,,,,,,,,,
,78016,International Humanitarian Law,6,,,,,,,,,,,,,,,,
,78030,Criminal Sentencing Law,6,,,,,,,,,,,,,,,,
,78039,Wickedness and Vice,6,,,,,,,,,,,,,,,,
